identificativo,cifre,allenatore,evento,stato,nota
02141,5,HVR2011 INV2011 WIN2011,Winter 2011 Entei,coperta sul solo identificativo,Shiny ; activates a battle with a wild Zoroark in Black and White via Relocator
02158,5,さいきょう,Strongest Salamence,coperta con allenatore,None
02211,5,HVR2011 INV2011 WIN2011,Winter 2011 Suicune,coperta sul solo identificativo,Shiny ; activates a battle with a wild Zoroark in Black and White via Relocator
02211,5,WIN2011,North America Winter 2011 Celebi,coperta con allenatore,Allows the player to battle Giovanni in HeartGold and SoulSilver Allows a Zorua to join the party in Black and White via Relocator
02226,5,ルイルイθ,Ruirui Magikarp,coperta con allenatore,None
02243,5,SETEC,Multiple,non coperta,"Used for the Dragonite , Scizor , Tyranitar , Metagross , and Garchomp distrubted as part of the Strongest Class Pokémon Gift"
02259,5,ユキポン DARRELL,Skitty (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Fortree City who wants to trade R S
02265,5,セレナ,Serena's Fennekin,coperta con allenatore,None
02270,5,GAMESTP,GameStop Jirachi,coperta con allenatore,"When traded to HeartGold and SoulSilver , unlocks the Pokéwalker route Night Sky's Edge"
02276,5,グリーン,PGS Blue's Pidgeot,coperta sul solo identificativo,None
02276,5,マスダ,Junichi Masuda's Psyduck,coperta con allenatore,None
025643,6,ハッシー Hilary,Abra (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Oreburgh City who wants to trade BD SP
02730,5,おり,Ori Bidoof,non coperta,None
03010,5,PKLATAM,Latin America Jirachi,coperta con allenatore,"When traded to HeartGold and SoulSilver , unlocks the Pokéwalker route Night Sky's Edge"
030118,6,2018 Legends Légendes2018 Legenden2018 Leggende2018 Leyendas2018,Multiple,coperta sul solo identificativo,Used for the Legendary Pokémon Celebration Heatran and Regigigas
03012,5,さくら,ExtremeSpeed Pikachu,coperta con allenatore,None
03013,5,FRÜ2013 PRI2013 SPR2013,Spring 2013 Meloetta,coperta sul solo identificativo,Can learn Relic Song in Generation V
03016,5,GF,20th Anniversary Celebi,coperta con allenatore,None
03016,5,Ｐスクラップ,Multiple,coperta sul solo identificativo,"Used for the Pokémon Scrap 2016 Articuno , Zapdos , Moltres , and Shiny Eevee"
03032,5,VGC12,Video Game Championships 2012 Larvitar,coperta con allenatore,Shiny
03042,5,최강의귀환,Strongest Return Mewtwo,non coperta,None
03046,5,ワタル Lance Peter Siegfried 목호,Kanto Classic Lance's Dragonite,coperta sul solo identificativo,None
03050,5,FRü2010 SPR2010 PRI2010,Spring 2010 Pichu,coperta sul solo identificativo,"Shiny ; When traded to HeartGold and SoulSilver , allows the player to obtain a Spiky-eared Pichu"
03055,5,WCSK15,2015 Korean World Championship Series Linoone,coperta con allenatore,None
03060,5,オブリビア Oblivia,Multiple,coperta sul solo identificativo,Used by Pokémon received in Ranger Net missions in Pokémon Ranger: Guardian Signs
030719,6,ネガイボシ,Wishing Star Jirachi,coperta con allenatore,None
03075,5,デセルシティ,Dahara City Arceus,coperta con allenatore,Chance of being Shiny in Japan
03089,5,TRU,"Toys ""R"" Us Regigigas",coperta con allenatore,"When traded to Platinum , unlocks the Rock Peak , Iceberg , and Iron Ruins"
