identificativo,cifre,allenatore,evento,stato,nota
12215,5,ＰＧＬ PGL,PGL Delibird,coperta sul solo identificativo,Used for the PGL Delibird distribution in Japanese and American regions
12215,5,Manesh,Manesh Arceus,coperta con allenatore,None
12221,5,아인트,Eind Victini,non coperta,None
12221,5,지우,Multiple,non coperta,Used for Ash's Reshiram and Zekrom distributed in South Korea Could be tucked into the Dream World to access the special Pokémon Movie home.
12226,5,네벨,Nebel Volcanion,coperta sul solo identificativo,Prompts special dialogue in X and Y
12226,5,みずのたみ,World Hobby Fair Manaphy,coperta con allenatore,None
12226,5,りゅうた,Ryuuta Magikarp,coperta con allenatore,None
12230,5,영화관,Cinema Celebi,non coperta,None
12235,5,데세르시티,Dahara City Arceus,coperta con allenatore,None
12235,5,영화관,Dahara City Hoopa,coperta con allenatore,Prompts special dialogue in X and Y . Allows the collection of the Prison Bottle in Omega Ruby and Alpha Sapphire
12235,5,ポケモンラボ,Multiple,coperta con allenatore,Used for the Pokémon Lab Johto first partner Pokémon
12249,5,영화관,Cinema Arceus,non coperta,"In HeartGold and SoulSilver , grants access to the Sinjoh Ruins . In Platinum , prompts special dialogue in the Oreburgh Mine"
12255,5,PGL,PGL Delibird,coperta con allenatore,Used for the PGL Delibird distribution in PAL and Korean regions
12268,5,ヨコハマ,2008 Birthday Pikachu,coperta con allenatore,None
12269,5,ヨコハマ,2009 Birthday Pikachu,coperta con allenatore,None
12270,5,ＡＮＡ,All Nippon Airways Darkrai,coperta sul solo identificativo,None
12270,5,ふゆやすみ,Winter Vacation Darkrai,coperta sul solo identificativo,None
131017,6,サトシ Ash Sacha 지우 Satoshi,Special Demo Version Ash's Greninja,coperta sul solo identificativo,None
131017,6,サトシ,Kalos Cap Pikachu,coperta con allenatore,Distributed in Japan
134745,6,ジニア Jacq,Gulpin (Pokémon),coperta sul solo identificativo,Jacq 's ID
13579,5,JEREMY,Multiple,coperta con allenatore,Used for certain Pokémon given away in 2004 to players of Pokémon FireRed and LeafGreen
13637,5,とーたん TURNER,Multiple,coperta sul solo identificativo,"The ID of Trainer wanting to trade on Route 11 , will trade Nidorino for Nidorina FR or Nidorina for Nidorino LG"
137719,6,キハダ Dendra,Meditite (Pokémon),coperta sul solo identificativo,Dendra 's ID
14818,5,ヒャダイン,Hyadain's Landorus,coperta con allenatore,None
149671,6,リップ Tulip,Flittle (Pokémon),coperta sul solo identificativo,Tulip 's ID
15616,5,モンド Mondo,Xatu (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Pewter City who wants to trade HG SS
158604,6,ミモザ Miriam,Mareanie (Pokémon),coperta sul solo identificativo,Miriam 's ID
160206,6,サオリ,Saori Yoshida's Machamp,coperta con allenatore,None
161117,6,サトシ,Alola Cap Pikachu,coperta con allenatore,Distributed in Japan
161118,6,Kukui,Pikachu (Pokémon),coperta sul solo identificativo,Professor Kukui 's ID in the Special Demo of Sun and Moon
161118,6,ポケセン♪,Multiple,coperta con allenatore,"Used for the first distribution of Pokémon Center Birthday Pikachu , Eevee , and Comfey for the Nintendo 3DS Generation VII games"
161201,6,サッポロ,Pokémon Center Sapporo Alolan Vulpix,coperta con allenatore,None
170128,6,Lunar,Lunar Magikarp,coperta con allenatore,Shiny
170317,6,メレメレ,Japanese Melemele Island Shiny Tapu Koko,coperta con allenatore,Shiny
170404,6,썬문,Pokémon Sun & Moon Alolan Vulpix,coperta con allenatore,None
170408,6,멜레멜레,Korean Melemele Island Shiny Tapu Koko,coperta con allenatore,Shiny
170415,6,ポケセン,Pokémon Center Bewear,coperta con allenatore,None
170428,6,Melemele,Taiwanese Melemele Island Shiny Tapu Koko,coperta con allenatore,Shiny
170502,6,썬문,Multiple,coperta con allenatore,"Used for the South Korean Pokémon Sun & Moon Alolan Sandshrew , Grimer , and Diglett"
170505,6,WCSK17,2017 Korean World Championship Series Mew,non coperta,None
170513,6,ポケセン,Multiple,coperta con allenatore,Used for the distribution of the Pokémon Center Eeveelutions
170513,6,ポケセン,Multiple,coperta con allenatore,Used for the distribution of the Pokémon Store Eeveelutions
170617,6,マオ,Æon Mallow's Steenee,coperta con allenatore,Later distributed locally at Japanese Pokémon Centers
170626,6,カキ,Æon Kiawe's Turtonator,coperta con allenatore,Later distributed locally at Japanese Pokémon Centers
170630,6,トウホク,Pokémon Center Tohoku Victini,coperta con allenatore,None
170705,6,リーリエ,Æon Lillie's Alolan Vulpix,coperta con allenatore,Later distributed locally at Japanese Pokémon Centers
170714,6,Melemele Mele-Mele Mele Mele,International Melemele Island Shiny Tapu Koko,coperta sul solo identificativo,None
170715,6,サトシ Ash Sacha 지우 Satoshi,Partner Cap Pikachu,coperta sul solo identificativo,Chance of being Shiny due to an error
170715,6,サクジ,Multiple,coperta sul solo identificativo,Used for Sakuji's Mystery Files Solrock and Lunatone
170715,6,サトシ,Pokémon Rally 2017 Ash's Charizard,coperta con allenatore,Later distributed locally at Japanese Pokémon Centers
170715,6,ソウジ,Pokémon Rally 2017 Sorrel's Lucario,coperta con allenatore,Later distributed locally at Japanese Pokémon Centers
170715,6,テンセイざん,Multiple,coperta con allenatore,Used for the Japanese local distribution of Mount Tensei Marshadow and the Japanese serial code distribution of Mount Tensei Ho-Oh
170715,6,マコト,Pokémon Rally 2017 Verity's Piplup,coperta con allenatore,Later distributed locally at Japanese Pokémon Centers
17074,5,ハツネ Diana,Multiple,non coperta,"The ID of Trainer wanting to trade in Accumula Town , will trade Ambipom for Excadrill , and then Alakazam for Hippowdon"
170806,6,たなばた,2017 Tanabata Jirachi,coperta con allenatore,None
170809,6,カーニバル,Carnival Pikachu,coperta con allenatore,None
170812,6,키아웨,South Korean Kiawe's Turtonator,non coperta,None
170814,6,カーニバル,Multiple,coperta con allenatore,"Used for the local distribution of Pikachu Carnival Parade Pikachu , Ditto , and Mimikyu"
170822,6,릴리에,South Korean Lillie's Alolan Vulpix,coperta con allenatore,None
170919,6,마오,South Korean Mallow's Steenee,coperta con allenatore,None
170922,6,エーテル,Aether Silvally,coperta con allenatore,Shiny ; Distributed in Japan and Taiwan
170922,6,ポケセン,Pokémon Center Mimikyu,coperta con allenatore,Shiny
171007,6,포켓몬스토어,Autumn Korean League Mimikyu,non coperta,Shiny
171014,6,에테르,Aether Silvally,non coperta,Shiny ; Distributed in South Korea
171101,6,ポケセン♪,Multiple,non coperta,"Used for the second distribution of Pokémon Center Birthday Pikachu , Eevee , and Comfey for the Nintendo 3DS Generation VII games"
171104,6,다연,Pokémon Festa Verity's Piplup,non coperta,None
171117,6,ククイ,LINE Rotom,coperta con allenatore,None
171201,6,ゼンリョク,Multiple,coperta con allenatore,"Used for Pokémon Scrap 2017 Manaphy , Meloetta , and Hoopa"
171209,6,민준,South Korean Sorrel's Lucario,coperta con allenatore,None
171215,6,지우,South Korean Ash's Charizard,non coperta,None
171221,6,지우,Cap Pikachu,non coperta,Used for the South Korean distribution of the first six Cap Pikachu in South Korea
171221,6,천청산,Multiple,non coperta,Used for the South Korean distribution of Mount Tensei Marshadow and Ho-Oh
17336,5,だいすき,Kyocera Concert Bidoof,coperta con allenatore,None
180113,6,ウルトラ,Multiple,coperta con allenatore,Used for the Japanese distribution of Ultra Shiny Kyogre
180114,6,はじめ,Hajime Syacho's Corsola,coperta con allenatore,None
180115,6,コロコロ,CoroCoro Arceus,coperta con allenatore,None
180120,6,アオギリ,Team Rainbow Rocket Archie's Mightyena,coperta con allenatore,None
180120,6,アカギ,Team Rainbow Rocket Cyrus's Honchkrow,coperta con allenatore,None
180120,6,ゲーチス,Team Rainbow Rocket Ghetsis's Cofagrigus,coperta con allenatore,None
180120,6,サカキ,Team Rainbow Rocket Giovanni's Nidoking,coperta con allenatore,None
180120,6,フラダリ,Team Rainbow Rocket Lysandre's Mienshao,coperta con allenatore,None
180120,6,マツブサ,Team Rainbow Rocket Maxie's Crobat,coperta con allenatore,None
180127,6,울트라,Multiple,coperta con allenatore,Used for the South Korean distribution of Ultra Shiny Kyogre and Groudon Also distributed locally at the Winter Korean Leauge
180302,6,ウルトラ,Japanese Ultra Shiny Poipole,coperta con allenatore,Shiny
180314,6,にほんばし,Nihonbashi Snorlax,coperta con allenatore,None
180314,6,ポケカフェ,Pokémon Cafe Pikachu,coperta con allenatore,None
180331,6,울트라,South Korean Ultra Shiny Poipole,coperta con allenatore,Shiny ; Also distributed locally Spring Korean Leauge
180413,6,フウラシティ,Fula City Lugia,coperta con allenatore,None
180425,6,ポケセン,Pokémon Center Shaymin,coperta con allenatore,None
180427,6,월드페스티벌,Pokémon World Festival Pikachu,non coperta,None
180501,6,마음,Heart Shaymin,non coperta,None
180606,6,아라모스,Multiple,coperta con allenatore,"Used for the distribution of Alamos Dialga , Palkia , and Darkrai"
180609,6,ルイ,Ryota Otsubo's Golduck,coperta con allenatore,None
180620,6,제너레이션즈,Pokémon Generations Zygarde,coperta con allenatore,None
180713,6,여름,Summer Manaphy,coperta sul solo identificativo,None
180713,6,フウラシティ,Fula City Zeraora,coperta con allenatore,None
180801,6,たなばた,2018 Tanabata Jirachi,non coperta,None
180915,6,정수웅,Suwoong Cheong's Metagross,coperta con allenatore,None
181026,6,PGL,Ultra Spooky Cup Shiny Mimikyu,coperta con allenatore,Shiny ; Distributed in Japan and South Korea
181101,6,ポケセン♪,Multiple,non coperta,"Used for the third and final distribution of Pokémon Center Birthday Pikachu , Eevee , and Comfey for the Nintendo 3DS Generation VII games"
181116,6,ポケセン,Pokémon Center Birthday Chansey,coperta con allenatore,None
181130,6,アーカラ Akala 아칼라,Akala Island Shiny Tapu Lele,coperta sul solo identificativo,"Shiny ; Distributed in Japan, Europe and South Korea"
181219,6,후우라시티,Multiple,coperta con allenatore,Used for the South Korean distribution of Fula City Zeraora and Lugia
181222,6,코리안리그,Multiple,coperta con allenatore,Used for the local distribution of Korean League Season 1 Entei and Raikou
184745,6,スグリ Kieran,Applin (Pokémon),coperta sul solo identificativo,Kieran 's ID
190216,6,코리안리그,Multiple,coperta con allenatore,Used for the local distribution of Korean League Season 2 Tornadus and Thundurus
190501,6,베스트프렌드,Multiple,non coperta,Used for the Shiny Pikachu E and Eevee P distributed over at Pokémon Festa 2019
190511,6,Bullseye,Multiple,coperta con allenatore,Used for the Shiny Pikachu E and Eevee P distributed over Pokémon Pass at Target stores
190801,6,Giovanni,Giovanni's Mewtwo,coperta con allenatore,None
191115,6,ポケセン,Multiple,coperta con allenatore,Used for the distribution of Pokémon Center Birthday Pikachu and Eevee for the Nintendo Switch Generation VIII games
19248,5,ミナッチ Mindy,Haunter (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Snowpoint City who wants to trade D P Pt
19250,5,アイン Farris,Steelix (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Cyllage City who wants to trade X Y
200126,6,サトシ,Ash's Dragonite,coperta con allenatore,None
200212,6,HOME,HOME Pikachu,non coperta,None
200308,6,サトシ,Ash's Gengar,coperta con allenatore,Has a Gigantamax factor
200412,6,サトシ,Ash's Lucario,coperta con allenatore,None
20043,5,WISHMKR,Wishmaker Jirachi,coperta con allenatore,None
200630,6,HOME,1 Million Victories Shiny Zeraora,coperta con allenatore,Shiny
200705,6,サトシ,Ash's Sirfetch'd,coperta con allenatore,None
20078,5,Aura,Aura Mew,coperta con allenatore,None
200807,6,オコヤのもり Jungle Giungla Dschungel Selva 정글 丛林 叢林,Multiple,coperta sul solo identificativo,"The ID and OTs of the Jungle Zarude and Shiny Celebi distribution in Japan. For Celebi, the original ID was planned to be 200417."
200809,6,백종윤,Baik Jongyoon's Amoonguss,coperta con allenatore,Shiny
200822,6,VGC20,Pokémon Players Cup Porygon2,coperta con allenatore,None
200822,6,カ・エール,Pokémon Japan Championships 2019 Gastrodon,coperta con allenatore,None
200930,6,지우,List of event Pokémon distributions in Pokémon Sword and Shield#Ash's Charizard,coperta con allenatore,Korean Generation VIII distribution
201023,6,サトシ Ash Sacha 지우 小智,Pikachu in a cap,coperta sul solo identificativo,ID used for the Generation VIII distributions of all Cap Pikachu
201101,6,ポケセン PCSG,Pokémon Center Birthday Milcery,coperta sul solo identificativo,None
201113,6,オコヤのもり Jungle Giungla Dschungel Selva 정글 丛林 叢林,Worldwide Jungle Zarude,coperta sul solo identificativo,None
201120,6,ゲッチャレ,Multiple,coperta con allenatore,"Used for the Pokémon Scrap 2020 Genesect , Volcanion , and Marshadow"
201204,6,ミスド,Mister Donut's Chansey,coperta con allenatore,None
201204,6,ミスド,Mister Donut's Chansey,coperta con allenatore,None
201225,6,オコヤのもり Jungle Giungla Dschungel Selva 정글 丛林 叢林,Forest of Okoya Dada Zarude,coperta sul solo identificativo,None
20163,5,トウホク,Tohoku Pikachu,coperta con allenatore,None
201703,6,トウホク,Tohoku Pikachu,coperta con allenatore,None
201803,6,トウホク１８,2018 Tohoku Pikachu,coperta sul solo identificativo,None
209896,6,クラベル Clavell,Pawmo (Pokémon),coperta sul solo identificativo,Clavell 's ID
209896,6,グルーシャ Grusha,Cetoddle (Pokémon),coperta sul solo identificativo,Grusha 's ID
210101,6,KIBO,KIBO's Pikachu,coperta con allenatore,None
210108,6,サトシ,Ash's Dracovish,coperta con allenatore,None
210219,6,Rock Star,Rock Star Shiny Toxtricity,coperta con allenatore,Shiny
210227,6,GF,Singing Pikachu,coperta con allenatore,None
210426,6,어드벤처,Multiple,coperta con allenatore,"Used for the Pokémon Adventure 25 Genesect , Volcanion , and Marshadow"
210601,6,HOME,Multiple,coperta con allenatore,Used for both the Sword and Shield and HOME -based distributions of Gigantamax Factor Bulbasaur and Squirtle
210718,6,クララ,Pokémon Japan Championships 2020 Torkoal,coperta con allenatore,None
210807,6,정상윤,Jeong Sang-yoon's Porygon-Z,coperta con allenatore,None
210813,6,Wolfe,Wolfe Glick's Gigantamax Coalossal,coperta con allenatore,None
210915,6,Jungle Dschungel Selva Giungla オコヤのもり 정글 丛林 叢林,Multiple,non coperta,"Used for the Korean distribution of Zarude , Dada Zarude, and Shiny Celebi"
211006,6,Jungle Dschungel Selva Giungla オコヤのもり 정글 丛林 叢林,Multiple,coperta sul solo identificativo,Used for the International distribution of Dada Zarude and Shiny Celebi
211022,6,Arthur ガラル 가라르 伽勒尔 伽勒爾,Arthur's Shiny Zamazenta,coperta sul solo identificativo,None
211022,6,Lancer ガラル 가라르 伽勒尔 伽勒爾,Lancer's Shiny Zacian,coperta sul solo identificativo,None
211031,6,Leonardo,Leonardo Bonanomi's Gigantamax Charizard,coperta con allenatore,None
211101,6,Poké Center ポケセン,Pokémon Center Birthday Happiny,coperta sul solo identificativo,None
21121,5,ルビー サファイア,Ruby and Sapphire Zigzagoon,coperta sul solo identificativo,None
217978,6,カキツバタ Drayton,Duraludon (Pokémon),coperta sul solo identificativo,Drayton 's ID
220205,6,プロポチャ,Project Pochama Pocha Marche Piplup,coperta con allenatore,None
220218,6,Crown Krone Couronneige Corona L. Corona カンムリ 왕관설원 王冠,Crown Tundra's Shiny Galarian Articuno,coperta sul solo identificativo,None
220218,6,Wild Natur Sauvage Silvestre T. Selvagg ワイルド 와일드에리어 旷野 曠野,Wild Area's Shiny Galarian Zapdos,coperta sul solo identificativo,None
220415,6,Armor Rüstung Isolarmure Armadura I. Armatura ヨロイ 갑옷섬 铠岛 鎧島,Isle of Armor's Shiny Galarian Moltres,coperta sul solo identificativo,None
220422,6,Marco,Marco Hemantha Kaludura Silva's Dracovish,coperta con allenatore,None
220601,6,빛나,Dawn's Piplup,coperta con allenatore,None
220601,6,전이마을,Ten'i Village Regigigas,coperta con allenatore,None
220611,6,정원석,Wonseok Jung's Grimmsnarl,coperta con allenatore,None
220611,6,コウ,Kohei Fujida's Sableye,coperta con allenatore,None
220618,6,Jirawiwat,Jirawiwat Thitasiri's Clefairy,coperta con allenatore,Shiny
220624,6,Eric,Eric Rios's East Sea Gastrodon,coperta con allenatore,None
220721,6,Hisui ヒスイ 히스이 翠洗,Hisui's Hisuian Growlithe,coperta sul solo identificativo,None
220818,6,Victory ビクトリー 빅토리 胜利  勝利,Victory Victini,coperta sul solo identificativo,None
220818,6,WCS22 ＷＣＳ２２,2022 World Championships Sinistea,coperta sul solo identificativo,None
220910,6,おつきみ２２,Pokémon Center Otsukimi Clefairy,coperta con allenatore,None
221118,6,ポケセン PokéCenter,Multiple,coperta sul solo identificativo,Used for the Pokémon Center Birthday Flabébé distribution
22796,5,ゲーフリ GF 게임프리크,Game Freak Mew,coperta sul solo identificativo,None
230217,6,Jiseok,Jiseok Lee's Garganacl,coperta con allenatore,None
230414,6,Liko リコ 리코 莉可,Liko's Sprigatito,coperta sul solo identificativo,None
230414,6,Gavin,Gavin Michaels' Palafin,coperta con allenatore,None
230422,6,ポケセン,25th Anniversary Pikatto Pika Pika Pikachu,coperta con allenatore,None
230512,6,Roy Rod Rhod ロイ 로드 羅伊,Roy's Fuecoco,coperta sul solo identificativo,None
230531,6,기신,Marcus's Bronzong,coperta con allenatore,None
230531,6,미케나,Michina Town Pichu,coperta con allenatore,None
230603,6,정원석,Wonseok Jung's East Sea Gastrodon,coperta con allenatore,None
230610,6,そらみつ,Yasuharu Shimizu's Bronzong,coperta con allenatore,None
230630,6,Paul,Paul Chua's Arcanine,coperta con allenatore,None
230728,6,Nontaro,Chaiyawat Traiwichcha's Grimmsnarl,coperta con allenatore,None
230804,6,Dot Doti ドット 도트 点点 小點,Dot's Quaxly,non coperta,None
230811,6,Eduardo,Eduardo Cunha's East Sea Gastrodon,coperta con allenatore,None
230811,6,WCS23 Worlds23,2023 Pokémon World Championships Stretchy Form Tatsugiri,coperta sul solo identificativo,None
230906,6,ナッペやま Glaseado Montanata Mont Nappé SierraNapada S. Napada 나페산 霜抹山,Glaseado Mountain Cetitan,coperta sul solo identificativo,None
231006,6,Trixie,Trixie's Mimikyu,coperta con allenatore,None
231101,6,ポケセン PokéCenter 寶可夢中心,Multiple,coperta sul solo identificativo,Used for the Pokémon Center Birthday Pawmi & Charcadet distribution
231103,6,포켓몬스토어,Pokémon Store Fidough,coperta con allenatore,None
231117,6,Alex,Alex Gómez Berna's Dragapult,coperta con allenatore,None
231118,6,YOASOBI ヨアソビ 요아소비 夜游 夜遊,Pawmot (Pokémon),coperta sul solo identificativo,None
231122,6,スターだん Team Star 스타단 天星队的 天星隊的,Team Star's Revavroom,coperta sul solo identificativo,None
231213,6,パルデア Paldea 팔데아 帕底亚 帕底亞,Paldea's Gimmighoul,coperta sul solo identificativo,None
23478,5,ダイゴ Steven,Beldum (Pokémon),coperta sul solo identificativo,Steven Stone 's ID in HeartGold and SoulSilver
240101,6,윈터페스타,Winter Festa 2023 Baxcalibur,coperta con allenatore,None
240223,6,プロカビ,Snorlax (Pokémon),coperta con allenatore,None
240405,6,Marco,Iron Hands (Pokémon),coperta con allenatore,None
240505,6,신여명,Flutter Mane (Pokémon),coperta con allenatore,None
240512,6,Sophia,Gyarados (Pokémon),coperta con allenatore,None
240601,6,ナーク,Talonflame (Pokémon),coperta con allenatore,None
240607,6,Nils,Porygon2 (Pokémon),coperta con allenatore,None
240816,6,Worlds24 WCS24,2024 Pokémon World Championships Steenee,coperta sul solo identificativo,None
240816,6,トモヤ,Tomoya Ogawa's Sylveon,coperta con allenatore,None
241016,6,HOME,HOME Shiny Meloetta,coperta con allenatore,Shiny
241101,6,"PokéCenter ポケセン , 寶可夢中心",Pokémon Center Birthday Tandemaus,coperta sul solo identificativo,None
241115,6,Patrick​,Patrick Connors's Pelipper,coperta sul solo identificativo,Shiny
241122,6,대작전,Multiple,coperta con allenatore,Used for The Great Pokémon Get Operation 2024 Pokémon distributed in South Korea
241122,6,だいさくせん,Multiple,coperta con allenatore,Used for the Pokémon Get Large-scale Campaign 2024 Pokémon distributed in Japan
24680,5,JEREMY,Multiple,coperta con allenatore,Used for certain Pokémon given away in 2004 to players of Pokémon FireRed and LeafGreen
24974,5,Tom,Tom Heracross,non coperta,None
250122,6,아론,Sir Aaron's Lucario,coperta con allenatore,None
250128,6,HOME,Multiple,coperta con allenatore,Used for the Shiny Enamorus and Shiny Manaphy distributed over Pokémon HOME
250212,6,HOME,HOME Shiny Keldeo,coperta con allenatore,Shiny
250221,6,Marco,Marco Silva's Jumpluff,coperta con allenatore,None
250227,6,POKEMONDAY25,Pokémon Day 2025 Eevee,coperta con allenatore,None
250419,6,Wei Chyr,Wei Chyrto's Rillaboom,coperta con allenatore,None
250425,6,포켓몬타운,Pokémon Town 2025 Ditto,coperta con allenatore,None
250607,6,홍주영,Juyoung Hong's Porygon2,coperta con allenatore,None
250613,6,Wolfe,Wolfe Glick's Incineroar,coperta con allenatore,None
250621,6,ヒュウマ,Hyuma Hara's Flutter Mane,coperta con allenatore,None
250621,6,レイ,Ray Yamanaka's Amoonguss,coperta con allenatore,None
250932,6,Terri,Stunfisk (Pokémon),non coperta,The OT of the trainer who gives the player a Galarian Stunfisk
25643,5,ハッシー Hilary,Abra (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Oreburgh City who wants to trade D P Pt
25945,5,マリッペ ISIS,Meowth (Pokémon),coperta sul solo identificativo,The ID of the Trainer at Hoenn's Battle Frontier who wants to trade E
263455,6,ジョバンニ Mattia,Meowth (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Turffield Stadium who wants to trade
26491,5,ミカン Jasmine,Steelix (Pokémon),coperta sul solo identificativo,Jasmine 's ID
270222,6,Teresa Roca,Teresa Roca's Hisuian Growlithe,coperta sul solo identificativo,None
27471,5,さおり,Saori Bidoof,non coperta,None
275703,6,ライム Ryme,Greavard (Pokémon),coperta sul solo identificativo,Ryme 's ID
27646,5,ナオキ 청수 Aldo Bertín Chester Devon Kyle,Basculin (Pokémon),coperta sul solo identificativo,"The ID of the Trainer in Driftveil City who wants to trade Red-Striped Form with Reckless in Black, Blue-Striped Form with Rock Head in White"
27658,5,ツルマル Slick,Tangrowth (Pokémon),non coperta,The ID of the Trainer in Humilau City who wants to trade
28606,5,DOEL,Doel Deoxys,coperta con allenatore,None
29189,5,ジン Richard,Voltorb (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Olivine City who wants to trade HG SS
29294,5,ヘレン Elena,Eevee (Pokémon),coperta sul solo identificativo,The ID of the Trainer staying in one of the hotels of Kalos who wants to trade X Y
30317,5,RUBY SAPHIRE,Ruby and Sapphire Zigzagoon,coperta sul solo identificativo,Shiny ; fixes the Berry glitch in Ruby and Sapphire Versions
30719,5,ネガイボシ,Wishing Star Jirachi,coperta con allenatore,None
30724,5,モーリン Darrell,Makuhita (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Rustboro City who wants to trade OR AS
30821,5,スタンプ,Multiple,non coperta,Used for the Stamp Pichu and Absol distributed in Japan
30994,5,るいるい,Ruirui Shinx,non coperta,None
31121,5,アゲト,Ageto Celebi,coperta con allenatore,"The release date of Pokémon Colosseum in Japan, November 21, 2003"
31121,5,コロシアム,Colosseum Pikachu,coperta con allenatore,"The release date of Pokémon Colosseum in Japan, November 21, 2003"
314512,6,セイジ Salvatore,Meowth (Pokémon),coperta sul solo identificativo,Salvatore 's ID
316242,6,ハッサク Hassaku,Arctibax (Pokémon),coperta sul solo identificativo,Hassel 's ID
33038,5,マチス Surge,Pikachu (Pokémon),coperta sul solo identificativo,Lt. Surge 's ID
348226,6,Bond,Riolu (Pokémon),coperta sul solo identificativo,The ID of the Trainer at Académie Étoile who wants to trade Abra for Riolu
361010,6,レホール Raifort,Gimmighoul (Pokémon),coperta sul solo identificativo,Raifort 's ID
36728,5,DONTAE,Jynx (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Cerulean City who wants to trade FR LG
37030,5,ナナ,Nana Ralts,non coperta,None
37110,5,カルネ Diantha,Ralts (Pokémon),coperta sul solo identificativo,Diantha 's ID
37149,5,ギンザル DUKING DOKING GERMÁN GRAND RODRIGO,Multiple,coperta sul solo identificativo,Used for the Plusle obtained from Duking in Pokémon Colosseum and the Pokémon traded in Pokémon XD: Gale of Darkness
373015,6,ハイダイ Kofu,Veluza (Pokémon),coperta sul solo identificativo,Kofu 's ID
37379,5,キヨ,Kiyo Eevee,non coperta,None
37460,5,ナオキ Jose,Machop (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Goldenrod City who wants to trade HG SS
376983,6,ボタン Penny,Eevee (Pokémon),coperta sul solo identificativo,Penny 's ID
38726,5,マッチャン KOBE,Seedot (Pokémon),coperta sul solo identificativo,The ID of Trainer wanting to trade in Rustboro City E
38793,5,けん,Ken Psyduck,non coperta,None
390518,6,シアノ Cyrano,Blitzle (Pokémon),coperta sul solo identificativo,Cyrano 's ID
39922,5,アヤ 소영 Anémone Bettina Denise Dye Geles,Multiple,coperta sul solo identificativo,The ID of the Trainer in Nacrene City who wants to trade her Petilil B or Cottonee W
40122,5,CHANNEL,Channel Jirachi,coperta con allenatore,None
40217,5,フトシ 태사 Ander Bigrond Hajo Nico Tiziano,Munchlax (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Undella Town who wants to trade in the summer
40707,5,タナバタ,2004 Tanabata Jirachi,coperta con allenatore,None
41205,5,ＡＮＡ,2004 All Nippon Airways Pikachu,coperta sul solo identificativo,None
41400,5,ダニー HORDEL HORAZ ODINO VOLKER,Hordel,coperta sul solo identificativo,Moveset varies based on what Pokémon is traded to him.
418071,6,アカマツ Crispin,Magby (Pokémon),coperta sul solo identificativo,Crispin 's ID
42356,5,シン,Shin Shinx,non coperta,None
44142,5,ノブリン Norton,Chatot (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Eterna City who wants to trade D P Pt
442255,6,デデンクス,V Jump Christmas Trade Party Buizel,non coperta,None
44285,5,カープ Caveat,Magikarp (Pokémon),coperta sul solo identificativo,The ID of the Trainer staying in one of the hotels of Kalos who wants to trade X Y
46285,5,ソガチン SKYLAR,Horsea (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Pacifidlog Town who wants to trade E
48040,5,トシ,Toshi Ralts,non coperta,None
48926,5,コンタ Rudy,Onix (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Violet City who wants to trade HG SS
49562,5,みどりん ELYSSA,Makuhita (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Rustboro City who wants to trade R S
500031,6,ポケタイムス,Poké Times Trade Meeting Campaign #3 Stantler,non coperta,None
500031,6,ポケタイムス,Poké Times Trade Meeting Campaign #3 Bidoof BD SP,non coperta,None
50039,5,Christy,Christy Heracross,non coperta,None
50082,5,モリオ Lorenzo,Magneton (Pokémon),coperta sul solo identificativo,The ID of the Trainer at the Kanto Power Plant who wants to trade HG SS
50183,5,サトチン LANE,Corsola (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Pacifidlog Town who wants to trade R S
50298,5,タナーカ CLIFTON,Electrode (Pokémon),coperta sul solo identificativo,The ID of a Trainer wanting to trade on Cinnabar Island FR LG
50318,5,ポケパーク,PokéPark Meowth,coperta con allenatore,None
50319,5,ヨコハマ,Yokohama Pikachu,coperta con allenatore,None
50425,5,ＧＷ,GW Pikachu,coperta sul solo identificativo,None
50701,5,サッポロ,Sapporo Pikachu,coperta con allenatore,None
50701,5,サンデー,Pokémon Sunday Wobbuffet,coperta sul solo identificativo,None
50707,5,タナバタ,2005 Tanabata Jirachi,coperta con allenatore,None
50716,5,ハドウ,Hadō Mew,coperta con allenatore,None
50901,5,ハドウ,Multiple,coperta con allenatore,"Used for the Regirock , Regice and Registeel given away to commemorate Lucario and the Mystery of Mew"
51126,5,フクオカ オーサカ ナゴヤ サッポロ トウキョー ヨコハマ,Multiple,coperta sul solo identificativo,Used for the First Gather More Pokémon! Campaign events
51224,5,フクオカ オーサカ ナゴヤ サッポロ トウキョー ヨコハマ,Multiple,coperta sul solo identificativo,Used for the Second Gather More Pokémon! Campaign events
